STATION,ELEMENT,YEAR,TIME,TEMPERATURE
0-20000-0-11414,T,1962,AVG,5.2
0-20000-0-11414,T,1962,07:00,3.3
0-20000-0-11414,T,1962,14:00,8.2
0-20000-0-11414,T,1962,21:00,4.5
0-20000-0-11414,T,1963,AVG,5.4
0-20000-0-11414,T,1963,07:00,3.6
0-20000-0-11414,T,1963,14:00,8.8
0-20000-0-11414,T,1963,21:00,4.6
0-20000-0-11414,T,1964,AVG,6.1
0-20000-0-11414,T,1964,07:00,4.2
0-20000-0-11414,T,1964,14:00,9.3
0-20000-0-11414,T,1964,21:00,5.3
0-20000-0-11414,T,1965,AVG,5.7
0-20000-0-11414,T,1965,07:00,3.9
0-20000-0-11414,T,1965,14:00,8.8
0-20000-0-11414,T,1965,21:00,5.0
0-20000-0-11414,T,1966,AVG,6.9
0-20000-0-11414,T,1966,07:00,5.3
0-20000-0-11414,T,1966,14:00,9.9
0-20000-0-11414,T,1966,21:00,6.1
0-20000-0-11414,T,1967,AVG,6.9
0-20000-0-11414,T,1967,07:00,5.1
0-20000-0-11414,T,1967,14:00,10.2
0-20000-0-11414,T,1967,21:00,6.1
0-20000-0-11414,T,1968,AVG,6.1
0-20000-0-11414,T,1968,07:00,4.5
0-20000-0-11414,T,1968,14:00,9.2
0-20000-0-11414,T,1968,21:00,5.4
0-20000-0-11414,T,1969,AVG,5.9
0-20000-0-11414,T,1969,07:00,4.0
0-20000-0-11414,T,1969,14:00,9.3
0-20000-0-11414,T,1969,21:00,5.1
0-20000-0-11414,T,1970,AVG,5.6
0-20000-0-11414,T,1970,07:00,4.1
0-20000-0-11414,T,1970,14:00,8.6
0-20000-0-11414,T,1970,21:00,4.9
0-20000-0-11414,T,1971,AVG,6.4
0-20000-0-11414,T,1971,07:00,4.2
0-20000-0-11414,T,1971,14:00,10.1
0-20000-0-11414,T,1971,21:00,5.6
0-20000-0-11414,T,1972,AVG,5.8
0-20000-0-11414,T,1972,07:00,3.9
0-20000-0-11414,T,1972,14:00,9.1
0-20000-0-11414,T,1972,21:00,5.1
0-20000-0-11414,T,1973,AVG,6.2
0-20000-0-11414,T,1973,07:00,4.1
0-20000-0-11414,T,1973,14:00,9.8
0-20000-0-11414,T,1973,21:00,5.3
0-20000-0-11414,T,1974,AVG,6.9
0-20000-0-11414,T,1974,07:00,5.0
0-20000-0-11414,T,1974,14:00,10.0
0-20000-0-11414,T,1974,21:00,6.3
0-20000-0-11414,T,1975,AVG,7.2
0-20000-0-11414,T,1975,07:00,5.5
0-20000-0-11414,T,1975,14:00,10.8
0-20000-0-11414,T,1975,21:00,6.3
0-20000-0-11414,T,1976,AVG,6.6
0-20000-0-11414,T,1976,07:00,4.8
0-20000-0-11414,T,1976,14:00,10.1
0-20000-0-11414,T,1976,21:00,5.7
0-20000-0-11414,T,1977,AVG,6.9
0-20000-0-11414,T,1977,07:00,5.3
0-20000-0-11414,T,1977,14:00,10.1
0-20000-0-11414,T,1977,21:00,6.0
0-20000-0-11414,T,1978,AVG,5.9
0-20000-0-11414,T,1978,07:00,4.4
0-20000-0-11414,T,1978,14:00,9.0
0-20000-0-11414,T,1978,21:00,5.2
0-20000-0-11414,T,1979,AVG,6.2
0-20000-0-11414,T,1979,07:00,4.4
0-20000-0-11414,T,1979,14:00,9.6
0-20000-0-11414,T,1979,21:00,5.3
0-20000-0-11414,T,1980,AVG,5.7
0-20000-0-11414,T,1980,07:00,4.1
0-20000-0-11414,T,1980,14:00,8.7
0-20000-0-11414,T,1980,21:00,4.9
0-20000-0-11414,T,1981,AVG,6.4
0-20000-0-11414,T,1981,07:00,4.8
0-20000-0-11414,T,1981,14:00,9.6
0-20000-0-11414,T,1981,21:00,5.6
0-20000-0-11414,T,1982,AVG,7.1
0-20000-0-11414,T,1982,07:00,5.2
0-20000-0-11414,T,1982,14:00,10.8
0-20000-0-11414,T,1982,21:00,6.2
0-20000-0-11414,T,1983,AVG,7.3
0-20000-0-11414,T,1983,07:00,5.4
0-20000-0-11414,T,1983,14:00,10.8
0-20000-0-11414,T,1983,21:00,6.4
0-20000-0-11414,T,1984,AVG,6.1
0-20000-0-11414,T,1984,07:00,4.4
0-20000-0-11414,T,1984,14:00,9.3
