idhod,hodnota,vira_kod,uzemi_kod,sldb_rok,ukaz_txt,vira_txt,uzemi_txt
946548928,51359,1.0,500496,2021,Počet obyvatel s obvyklým pobytem,Bez náboženské víry,Olomouc
946750508,101,2.0,500496,2021,Počet obyvatel s obvyklým pobytem,Apoštolská církev,Olomouc
946616155,92,3.0,500496,2021,Počet obyvatel s obvyklým pobytem,Bratrská jednota baptistů,Olomouc
946394033,81,4.0,500496,2021,Počet obyvatel s obvyklým pobytem,Církev adventistů sedmého dne,Olomouc
946681914,119,5.0,500496,2021,Počet obyvatel s obvyklým pobytem,Církev bratrská,Olomouc
946616158,422,6.0,500496,2021,Počet obyvatel s obvyklým pobytem,Církev československá husitská,Olomouc
946481814,9,7.0,500496,2021,Počet obyvatel s obvyklým pobytem,Církev Ježíše Krista Svatých posledních dnů v České republice,Olomouc
946616153,57,8.0,500496,2021,Počet obyvatel s obvyklým pobytem,Církev řeckokatolická,Olomouc
946616151,8155,9.0,500496,2021,Počet obyvatel s obvyklým pobytem,Církev římskokatolická,Olomouc
946414356,354,10.0,500496,2021,Počet obyvatel s obvyklým pobytem,Českobratrská církev evangelická,Olomouc
946616319,11,11.0,500496,2021,Počet obyvatel s obvyklým pobytem,Evangelická církev augsburského vyznání v České republice,Olomouc
946394190,2,12.0,500496,2021,Počet obyvatel s obvyklým pobytem,Evangelická církev metodistická,Olomouc
946481815,14,13.0,500496,2021,Počet obyvatel s obvyklým pobytem,Federace židovských obcí v České republice,Olomouc
946394338,4,14.0,500496,2021,Počet obyvatel s obvyklým pobytem,Jednota bratrská,Olomouc
946616317,16,15.0,500496,2021,Počet obyvatel s obvyklým pobytem,Křesťanské sbory,Olomouc
946549082,4,16.0,500496,2021,Počet obyvatel s obvyklým pobytem,Luterská evangelická církev a. v. v České republice,Olomouc
946616470,1,17.0,500496,2021,Počet obyvatel s obvyklým pobytem,Náboženská společnost českých unitářů,Olomouc
946681915,93,18.0,500496,2021,Počet obyvatel s obvyklým pobytem,Náboženská společnost Svědkové Jehovovi,Olomouc
946750667,3,19.0,500496,2021,Počet obyvatel s obvyklým pobytem,Novoapoštolská církev v ČR,Olomouc
946548929,319,20.0,500496,2021,Počet obyvatel s obvyklým pobytem,Pravoslavná církev v českých zemích,Olomouc
